,Tahun,Bulan,Hari,Jam,elevasi (m)
176153,2004,2,4,17,1.69
176154,2004,2,4,18,1.73
176155,2004,2,4,19,1.82
176156,2004,2,4,20,1.85
176157,2004,2,4,21,1.94
176158,2004,2,4,22,2.08
176159,2004,2,4,23,2.2
176160,2004,2,5,0,2.28
176161,2004,2,5,1,2.34
176162,2004,2,5,2,2.39
176163,2004,2,5,3,2.4
176164,2004,2,5,4,2.34
176165,2004,2,5,5,2.31
176166,2004,2,5,6,2.17
176167,2004,2,5,7,2.02
176168,2004,2,5,8,1.84
176169,2004,2,5,9,1.73
176170,2004,2,5,10,1.49
176171,2004,2,5,11,1.48
176172,2004,2,5,12,1.46
176173,2004,2,5,13,1.42
176174,2004,2,5,14,1.5
